-DO NOT REMOVE THIS LINE | TO CLEAR THE ERROR LOG, DELETE ALL LINES AFTER THIS TEXT-
07-22-2019 11:58 | GeneratePayrollController | Undefined property: stdClass::$Office (GPC00001)
07-22-2019 13:15 | GeneratePayrollController | Undefined property: stdClass::$Office (GPC00001)
07-22-2019 13:18 | GeneratePayrollController | Undefined property: stdClass::$Office (GPC00001)
07-22-2019 13:33 | GeneratePayrollController | Undefined offset: 4 (GPC00001)
07-22-2019 13:33 | GeneratePayrollController | Undefined offset: 4 (GPC00001)
07-22-2019 13:52 | GeneratePayrollController | SQLSTATE[42702]: Ambiguous column: 7 ERROR:  column reference "empid" is ambiguous LINE 1: ...code" = "hr_dtr_sum_employees"."dtr_sum_id" where "empid" = ...                                                              ^ (SQL: select "hr_dtr_sum_hdr".* from "hr_dtr_sum_hdr" inner join "hr_dtr_sum_employees" on "hr_dtr_sum_hdr"."code" = "hr_dtr_sum_employees"."dtr_sum_id" where "empid" = X limit 1) (GPC00001)
07-22-2019 13:55 | GeneratePayrollController | Trying to get property 'empid' of non-object (GPC00001)
07-22-2019 19:11 | PayrollSummaryReportController | count(): Parameter must be an array or an object that implements Countable (00001)
07-22-2019 19:12 | PayrollSummaryReportController | Undefined property: stdClass::$cc_des (00001)
07-23-2019 15:41 | LeavesEntryController | error (LeEC00003)
07-23-2019 15:45 | EmployeeLeaveCount | Missing parameters. (ELC00001)
07-23-2019 15:45 | LeavesEntryController | error (LeEC00003)
07-23-2019 15:51 | EmployeeLeaveCount | Missing parameters. (ELC00001)
07-23-2019 15:51 | LeavesEntryController | error (LeEC00003)
07-23-2019 15:52 | EmployeeLeaveCount | Missing parameters (Leave Type). (ELC00001)
07-23-2019 15:52 | LeavesEntryController | error (LeEC00003)
07-23-2019 16:12 | EmployeeLeaveCount | Missing fields (Leave Type). (ELC00001)
07-23-2019 16:12 | LeavesEntryController | error (LeEC00003)
07-24-2019 13:28 | LeavesEntryController | Undefined variable: mode (LeEC00002)
07-24-2019 13:33 | LeavesEntryController | Undefined variable: mode (LeEC00002)
07-24-2019 13:53 | EmployeeLeaveCount | Missing fields (Leave Type). (ELC00001)
07-24-2019 13:53 | LeavesEntryController | error (LeEC00002)
07-24-2019 17:10 | LeavesEntryController | error (LeEC00002)
07-24-2019 17:13 | LeavesEntryController |  (LeEC00003)
07-24-2019 17:39 | LeavesEntryController |  (LeEC00003)
07-24-2019 17:48 | LeavesEntryController |  (LeEC00003)
07-24-2019 18:09 | EmployeeLeaveCount | Missing fields (Leave Type). (ELC00001)
07-24-2019 18:09 | LeavesEntryController | error (LeEC00002)
07-24-2019 18:19 | EmployeeLeaveCount | Missing fields (Leave Type). (ELC00001)
07-24-2019 18:19 | LeavesEntryController | error (LeEC00002)
07-24-2019 18:24 | EmployeeLeaveCount | A non-numeric value encountered (ELC00006)
07-24-2019 18:25 | EmployeeLeaveCount | A non-numeric value encountered (ELC00006)
07-24-2019 18:25 | EmployeeLeaveCount | A non-numeric value encountered (ELC00006)
07-24-2019 18:25 | EmployeeLeaveCount | A non-numeric value encountered (ELC00006)
07-24-2019 18:30 | EmployeeLeaveCount | A non-numeric value encountered (ELC00006)
07-24-2019 18:59 | EmployeeLeaveCount | Missing fields (Leave Type). (ELC00001)
07-24-2019 18:59 | LeavesEntryController | error (LeEC00002)
07-24-2019 18:59 | EmployeeLeaveCount | A non-numeric value encountered (ELC00006)
07-24-2019 19:15 | EmployeeLeaveCount | Missing fields (Leave Type). (ELC00001)
07-24-2019 19:15 | LeavesEntryController | error (LeEC00002)
07-24-2019 19:36 | EmployeeLeaveCount | Missing fields (Leave Type). (ELC00001)
07-24-2019 19:36 | LeavesEntryController | error (LeEC00002)
07-24-2019 19:36 | EmployeeLeaveCount | A non-numeric value encountered (ELC00006)
07-24-2019 19:36 | EmployeeLeaveCount | A non-numeric value encountered (ELC00006)
07-24-2019 19:37 | EmployeeLeaveCount | A non-numeric value encountered (ELC00006)
07-24-2019 19:38 | EmployeeLeaveCount | A non-numeric value encountered (ELC00006)
07-24-2019 19:38 | EmployeeLeaveCount | A non-numeric value encountered (ELC00006)
07-24-2019 19:39 | EmployeeLeaveCount | A non-numeric value encountered (ELC00006)
07-25-2019 10:34 | EmployeeLeaveCount | Missing fields (Leave Type). (ELC00001)
07-25-2019 10:34 | EmployeeLeaveCount | Leave Count Record not found. (ELC00007)
07-25-2019 10:34 | LeavesEntryController | Trying to get property 'description' of non-object (LeEC00001)
07-25-2019 10:34 | LeavesEntryController | Trying to get property 'description' of non-object (LeEC00001)
07-25-2019 10:49 | EmployeeLeaveCount | Missing fields (Leave Type). (ELC00001)
07-25-2019 10:49 | EmployeeLeaveCount | Leave Count Record not found. (ELC00007)
07-25-2019 10:49 | LeavesEntryController | Trying to get property 'description' of non-object (LeEC00001)
07-25-2019 10:49 | LeavesEntryController | Trying to get property 'description' of non-object (LeEC00001)
07-25-2019 10:58 | EmployeeLeaveCount | Missing fields (Leave Type). (ELC00001)
07-25-2019 10:58 | EmployeeLeaveCount | Leave Count Record not found. (ELC00007)
07-25-2019 10:58 | LeavesEntryController | Trying to get property 'description' of non-object (LeEC00001)
07-25-2019 10:58 | LeavesEntryController | Trying to get property 'description' of non-object (LeEC00001)
07-25-2019 11:14 | EmployeeLeaveCount | Missing fields (Leave Type). (ELC00001)
07-25-2019 11:14 | EmployeeLeaveCount | Leave Count Record not found. (ELC00007)
07-25-2019 11:14 | LeavesEntryController | Trying to get property 'description' of non-object (LeEC00001)
07-25-2019 11:14 | LeavesEntryController | Trying to get property 'description' of non-object (LeEC00001)
07-25-2019 11:40 | LeavesEntryController | Trying to get property 'description' of non-object (LeEC00001)
07-25-2019 13:44 | SyncSystemSettings | Trying to get property 'hy' of non-object (SSS00001)
07-25-2019 13:44 | SyncSystemSettings | Trying to get property 'hy' of non-object (SSS00001)
07-25-2019 13:44 | SyncSystemSettings | Trying to get property 'hy' of non-object (SSS00001)
07-25-2019 13:45 | EmployeeLeaveCount | Missing fields (Leave Type). (ELC00001)
07-25-2019 13:56 | EmployeeLeaveCount | Missing fields (Leave Type). (ELC00001)
07-25-2019 13:59 | EmployeeLeaveCount | Missing fields (Leave Type). (ELC00001)
07-25-2019 13:59 | EmployeeLeaveCount | Illegal string offset 'fam' (ELC00008)
07-25-2019 14:18 | EmployeeLeaveCount | Illegal string offset 'fam' (ELC00008)
07-25-2019 14:19 | EmployeeLeaveCount | Illegal string offset 'fam' (ELC00008)
07-25-2019 14:20 | EmployeeLeaveCount | Illegal string offset 'fam' (ELC00008)
07-25-2019 14:20 | EmployeeLeaveCount | Illegal string offset 'fam' (ELC00008)
07-25-2019 14:20 | EmployeeLeaveCount | Illegal string offset 'fam' (ELC00008)
07-25-2019 14:21 | EmployeeLeaveCount | Illegal string offset 'fam' (ELC00008)
07-25-2019 15:21 | EmployeeLeaveCount | Illegal string offset 'fam' (ELC00008)
07-25-2019 15:25 | EmployeeLeaveCount | Illegal string offset 'fam' (ELC00008)
07-25-2019 15:27 | EmployeeLeaveCount | Illegal string offset 'fam' (ELC00008)
07-25-2019 15:27 | EmployeeLeaveCount | Illegal string offset 'fam' (ELC00008)
07-25-2019 15:27 | EmployeeLeaveCount | Illegal string offset 'fam' (ELC00008)
07-25-2019 15:28 | EmployeeLeaveCount | Illegal string offset 'fam' (ELC00008)
07-25-2019 15:28 | EmployeeLeaveCount | Illegal string offset 'fam' (ELC00008)
07-25-2019 15:29 | EmployeeLeaveCount | Illegal string offset 'fam' (ELC00008)
07-25-2019 15:33 | EmployeeLeaveCount | Missing fields (Leave Type). (ELC00001)
07-25-2019 15:33 | EmployeeLeaveCount | Illegal string offset 'fam' (ELC00008)
07-25-2019 15:33 | EmployeeLeaveCount | Illegal string offset 'fam' (ELC00008)
07-25-2019 15:36 | EmployeeLeaveCount | Missing fields (Leave Type). (ELC00001)
07-25-2019 15:42 | EmployeeLeaveCount | Missing fields (Leave Type). (ELC00001)
07-25-2019 15:42 | EmployeeLeaveCount | Illegal string offset 'fam' (ELC00008)
07-25-2019 15:54 | EmployeeLeaveCount | Missing fields (Leave Type). (ELC00001)
07-25-2019 15:54 | EmployeeLeaveCount | Illegal string offset 'fam' (ELC00008)
07-25-2019 16:24 | EmployeeLeaveCount | Illegal string offset 'fam' (ELC00008)
07-25-2019 16:24 | EmployeeLeaveCount | Illegal string offset 'fam' (ELC00008)
07-25-2019 16:24 | EmployeeLeaveCount | Missing fields (Leave Type). (ELC00001)
07-25-2019 16:25 | EmployeeLeaveCount | Illegal string offset 'fam' (ELC00008)
07-25-2019 16:25 | EmployeeLeaveCount | Illegal string offset 'fam' (ELC00008)
07-25-2019 16:25 | EmployeeLeaveCount | Illegal string offset 'fam' (ELC00008)
07-25-2019 16:25 | EmployeeLeaveCount | Illegal string offset 'fam' (ELC00008)
07-25-2019 16:32 | EmployeeLeaveCount | Missing fields (Leave Type). (ELC00001)
07-25-2019 16:33 | EmployeeLeaveCount | Illegal string offset 'fam' (ELC00008)
07-25-2019 17:33 | EmployeeLeaveCount | Missing fields (Leave Type). (ELC00001)
07-25-2019 17:33 | LeavesEntryController | Trying to get property 'description' of non-object (LeEC00001)
07-25-2019 17:42 | LeavesEntryController | Trying to get property 'description' of non-object (LeEC00001)
07-25-2019 17:42 | LeavesEntryController | Trying to get property 'description' of non-object (LeEC00001)
07-25-2019 18:28 | EmployeeLeaveCount | Missing fields (Leave Type). (ELC00001)
07-26-2019 16:48 | PayrollSummaryReportController | Trying to get property 'empid' of non-object (View: C:\xampp\htdocs\hris4\root\resources\views\print\reports\payroll\export_payroll_summary_report.blade.php) (00001)
07-26-2019 16:48 | PayrollSummaryReportController | Trying to get property 'empid' of non-object (View: C:\xampp\htdocs\hris4\root\resources\views\print\reports\payroll\export_payroll_summary_report.blade.php) (00001)
07-29-2019 12:58 | EmployeeController | Employee not found. (EC00005)
07-29-2019 13:00 | EmployeeController | Employee not found. (EC00005)
07-29-2019 13:00 | EmployeeController | Employee not found. (EC00005)
07-29-2019 13:01 | EmployeeController | Employee not found. (EC00005)
07-29-2019 14:19 | TimeLogEntryController | Undefined offset: 2019 (TLEC00002)
07-29-2019 18:31 | GeneratePayrollController | Creating default object from empty value (GPC00001)
07-30-2019 14:00 | TimeLogEntryController | SQLSTATE[23505]: Unique violation: 7 ERROR:  duplicate key value violates unique constraint "hr_tito2_pkey" DETAIL:  Key (work_date, empid, time_log)=(2019-07-30, LYD-123, 13:51) already exists. (SQL: insert into "hr_tito2" ("work_date", "time_log", "empid", "status", "source", "logs_id") values (2019-07-30, 13:51, LYD-123, 0, M, 00000481)) (TLEC00002)
08-01-2019 17:17 | PayrollSummaryReportController | Trying to get property 'empid' of non-object (View: C:\xampp\htdocs\hris4\root\resources\views\print\reports\payroll\export_payroll_summary_report.blade.php) (00001)
08-02-2019 18:23 | PayrollSummaryReportController | Undefined variable: empid (00001)
08-16-2019 09:51 | GeneratePayrollController | Creating default object from empty value (GPC00001)
08-16-2019 09:51 | GeneratePayrollController | Creating default object from empty value (GPC00001)
08-16-2019 09:52 | GeneratePayrollController | Creating default object from empty value (GPC00001)
08-16-2019 09:52 | GeneratePayrollController | Creating default object from empty value (GPC00001)
08-16-2019 09:52 | GeneratePayrollController | Creating default object from empty value (GPC00001)
08-16-2019 09:53 | GeneratePayrollController | Creating default object from empty value (GPC00001)
08-16-2019 09:53 | GeneratePayrollController | Creating default object from empty value (GPC00001)
08-16-2019 13:27 | LoanEntryController | Trying to get property 'description' of non-object (LoEC00003)
08-16-2019 13:27 | LoanEntryController | Trying to get property 'description' of non-object (LoEC00003)
08-16-2019 13:27 | LoanEntryController | Trying to get property 'description' of non-object (LoEC00003)
08-16-2019 13:30 | LoanEntryController | Trying to get property 'description' of non-object (LoEC00003)
08-16-2019 13:32 | LoanEntryController | Trying to get property 'description' of non-object (LoEC00003)
08-16-2019 13:33 | LoanEntryController | Trying to get property 'description' of non-object (LoEC00003)
08-16-2019 13:41 | LoanEntryController | SQLSTATE[22P02]: Invalid text representation: 7 ERROR:  invalid input syntax for integer: "pagibig" (SQL: select * from "hr_pagibig_sub" where "cancel" is null and "id" = pagibig limit 1) (LoEC00003)
08-28-2019 13:56 | GeneratePayrollController | Creating default object from empty value (GPC00001)
09-09-2019 17:00 | GeneratePayrollController | Creating default object from empty value (GPC00001)
09-09-2019 17:00 | GeneratePayrollController | Creating default object from empty value (GPC00001)
09-09-2019 17:01 | GeneratePayrollController | Creating default object from empty value (GPC00001)
09-09-2019 17:01 | GeneratePayrollController | Creating default object from empty value (GPC00001)
09-09-2019 17:03 | GeneratePayrollController | Creating default object from empty value (GPC00001)
09-09-2019 17:03 | GeneratePayrollController | Creating default object from empty value (GPC00001)
09-09-2019 17:53 | GeneratePayrollController | Creating default object from empty value (GPC00001)
